Sample Skill,Similar Skills
dlp,isdn(0.9354846477508545),switchconfiguration(0.9333174824714661),enterprisenetworks(0.926560640335083),ciscorouter(0.9194193482398987),fwsm(0.9172918796539307)
professionalmanner,communicationsskills(0.9449314475059509),writtenandoralcommunication(0.9421770572662354),commercialbackground(0.9390578866004944),fast learner(0.9335958957672119),outstandingwritten(0.9310843348503113)
professionalwriting,recordmanagement(0.9384754300117493),organisationalskills(0.9295302033424377),targetoriented(0.9278632402420044),manufacturing sales(0.9270439743995667),businesswriting(0.9244688153266907)
financialoperations,salesadministration(0.9604592323303223),returnoninvestment(0.9554566740989685),secondarymarket(0.9527091383934021),salescoordination(0.9485798478126526),strategyplanning(0.9466135501861572)
groupmanagement,proprietarysoftware(0.9530016779899597),persuasion(0.9505080580711365),externalaudit(0.9477638602256775),mortgageservicing(0.9477329850196838),client focused(0.9465578198432922)
rapidprototyping,activitydiagrams(0.8765201568603516),sharepointtechnologies(0.867442786693573),design reviews(0.8357219696044922),sdlcprocess(0.8326799869537354),dataflowdiagrams(0.8277088403701782)
rationalunifiedprocess,rup(0.9619598388671875),waterfallmodels(0.9487067461013794),agilescrum(0.9463037252426147),waterfallmethodologies(0.931348443031311),softwaredevelopmentmethodologies(0.928932785987854)
requirementstraceability,appropriatetools(0.9736915230751038),componentdesign(0.960849404335022),rtm(0.9607871174812317),knowledgetransfer(0.9476041793823242),projectscope(0.9469570517539978)
googledocs,adobeconnect(0.945520281791687),msoutlook(0.9315156936645508),adobephotodeluxe(0.9174929857254028),msofficeword(0.9153377413749695),wix(0.9143867492675781)
planning workflow,trendanalysis(0.9185406565666199),performancemanagement(0.905666172504425),employeerelations(0.9034768342971802),talentacquisition(0.9023973345756531),businessobjectives(0.9010459780693054)
productfeatures,projectlife cycle(0.9318954944610596),releaseplanning(0.9267215132713318),testreporting(0.920665979385376),cmm(0.9184059500694275),productdevelopmentlifecycle(0.9081338047981262)
buildingrapport,conceptdevelopment(0.9679411053657532),teammanagementskills(0.9564787745475769),production/manufacturing(0.9552379250526428),budgetcontrol(0.954803466796875),productivityimprovement(0.9545234441757202)
teamcoordination,professionalservices(0.9615736603736877),productquality(0.9545862674713135),leadershipability(0.9524993896484375),managemultipleprojects(0.9475194215774536),processoperations(0.9436789751052856)
heo,approvalprocess(0.839267909526825),cpoe(0.8351292014122009),rfpdevelopment(0.8287585973739624),ehr(0.8272607922554016),hie(0.8259220719337463)
hpp,helpdesk(0.8695261478424072),system;development(0.8480246663093567),emulation(0.8385200500488281),itsystems(0.8328608274459839),ensurepropertraining(0.8261176347732544)
ekg,medicaltranscription(0.9330416917800903),composites(0.9069198369979858),medicalcoding(0.906438410282135),soarian(0.8855187892913818),curam(0.8825921416282654)
cpr,customerservices(0.9643611311912537),phoneetiquette(0.9627031683921814),patientcare(0.9619486927986145),accountancy(0.9605003595352173),buildingrelationships(0.9595595598220825)
financialgoals,trainingmanagement(0.9554187655448914),motivatingteams(0.9521282911300659),identifynewbusinessopportunities(0.9491399526596069),operationalbudgets(0.9485473036766052),organizationaldevelopment(0.9398033022880554)
loanorigination,strategicplans(0.9239517450332642),informationmanagement(0.9059248566627502),focusgroups(0.905493974685669),pms(0.9044485092163086),stakeholdermanagement(0.9023488759994507)
microsoftdynamicscrm,nhibernate(0.976733922958374),d365(0.9717974066734314),dotnet(0.9489584565162659),c# aspnet(0.8567256927490234),crystalreport(0.8550510406494141)
processflowdiagrams,productlifecycle(0.9166366457939148),re engineering(0.9088776707649231),commercialclients(0.9062391519546509),otc(0.9051811695098877),savvion(0.9033231735229492)
oraclee businesssuite,e business(0.968575119972229),oraclee business(0.9620392322540283),oracleapplications(0.9520789384841919),hcm(0.9483486413955688),oraclepayroll(0.9417709112167358)
cle,microsoftoffice365(0.8747003078460693),kronos(0.8421366214752197),networkinfrastructure(0.8399021029472351),mms(0.8332715630531311),ess(0.8252694010734558)
blaze,eclipseide(0.8195195198059082),intellijidea(0.7648333311080933),log4j(0.7617648243904114),ant(0.7580062747001648),rad(0.749761700630188)
trainingneeds,shopfloor(0.9843178987503052),providesolutions(0.9602640271186829),automotive(0.9434022903442383),sitesearch(0.8729569315910339),transportation(0.8424170017242432)
physicaltherapy,ibmgbs(0.9354440569877625),self motivation(0.9083190560340881),skilldevelopment(0.8925555348396301),tl(0.8815754055976868),speakingskills(0.8792544007301331)
systemsdesign,enterprisemobility(0.9145609140396118),distributedsystems(0.8715212941169739),adapters(0.853615939617157),technicalteams(0.8520182371139526),webservicesdevelopment(0.8428365588188171)
accreditation,pharmacology(0.8318330645561218),cic(0.8272997736930847),hcc(0.8258264660835266),understandingcustomer(0.8227270245552063),healthcaremanagement(0.8166801929473877)
hcc,drg(0.9513349533081055),medicalcoding(0.9356682300567627),hmo(0.9315344095230103),hdm(0.9286468029022217),bcbs(0.915998101234436)
ophthalmic,marketingleadgeneration(0.8208933472633362),6000(0.7856658101081848),packagingdesign(0.78501957654953),liaison(0.784881055355072),telesales(0.7814565300941467)
atlas,yardi(0.9611850380897522),v lookup(0.9564253091812134),computerbasics(0.9492357969284058),zen(0.9488967061042786),microsoftwindows xp(0.9483988881111145)
cinematography,fieldwork(0.9742914438247681),followups(0.9619976878166199),incentive(0.9612758755683899),productlisting(0.9605410695075989),productlaunches(0.9604495167732239)
taleo,outsourcing(0.9562955498695374),processoptimization(0.9477452039718628),sop(0.9351372122764587),payrollprocessing(0.9313942790031433),strategicmanagement(0.9268054366111755)
applicanttrackingsystem,aftersales(0.9835218787193298),grievances(0.981317400932312),increasedsales(0.97524094581604),productsourcing(0.9748173952102661),controllingcosts(0.973758339881897)
documentprocesses,computerbasics(0.9372843503952026),v lookup(0.9310963153839111),enjoysthechallengeoflearningnewskillswiththeabilitytoadapttochangeswithinworkingenvironments(0.9284400939941406),confidentlessthan1year(0.9255669713020325),basicinternet(0.9213413000106812)
chaos,grc(0.9545453190803528),datatransferprocess(0.9499843120574951),sapplantmaintenance(0.9497348070144653),investmentmanagement(0.9425908327102661),wm(0.9384750127792358)
financialcontrols,capitalmarkets(0.948017418384552),projectgovernance(0.9453649520874023),enforcing(0.9375457167625427),operationalrisk(0.9316944479942322),neft(0.9315471649169922)
c# net,net40(0.966395914554596),netframework35(0.9549715518951416),xamarin(0.9521393775939941),dotnettechnologies(0.9483295679092407),netmvc(0.9443393349647522)
mq series,scripts java(0.893034815788269),informaticaintelligencecloudservices(0.887062132358551),rdf(0.8845196962356567),sdsf(0.8824742436408997),controlm(0.8775925040245056)
googleapi,wcfservice(0.9370011687278748),enterpriselibrary(0.935356855392456),webapis(0.9340546131134033),mvc aspnet(0.9309880137443542),curl(0.925844669342041)
xmlspy,microsoftvisualsourcesafe(0.9118217825889587),primaryskills:oraclesql pl/sql(0.8985625505447388),macromediaflash(0.888166606426239),appserver(0.8713090419769287),textmate(0.8675933480262756)
tmon,msofficetools(0.9001116156578064),microsoftproject(0.887749195098877),ms outlook(0.8818187713623047),msproject(0.8761056065559387),mondaycom(0.873282253742218)
sharepointserver,systemsecurity(0.9362207651138306),sharepointadministration(0.9013925194740295),projectserver(0.8984752893447876),sharepointonline(0.8938228487968445),lync(0.8932141065597534)
msexchange,xcal(0.9597834944725037),remotedesktop(0.9596844911575317),vdi(0.9585570693016052),hardwaresupport(0.9541043043136597),wintel(0.9537577629089355)
cre,rta(0.862671971321106),qualitychecks(0.852105438709259),analytics&datamanagement(0.8471798300743103),qualitystage(0.8310796618461609),portfoliostrategy(0.8268887400627136)
rdms,mariadb(0.9486238956451416),rationalsoftwarearchitect(0.9409236907958984),tornado(0.9347037076950073),apacheweb server(0.9259681701660156),tomee(0.917738139629364)
oltp,etlprocesses(0.9752704501152039),olap(0.975054919719696),informaticapowercenter(0.9716936945915222),dw(0.9695378541946411),powercenter(0.9649789333343506)
applicationsoftware,communicationengineering(0.9185453057289124),electroniccomponents(0.8466711044311523),q/a(0.8461467623710632),accesscontrol(0.8380089998245239),projectreport(0.8310693502426147)
analytics sales,portuguese(0.928291380405426),salesvolumes(0.9241857528686523),reporting(0.9221996665000916),adp(0.9185484051704407),hris(0.9179334044456482)
visualforce,apex(0.970178484916687),sosl(0.9491342306137085),soql(0.9375569224357605),dataloader(0.9324988722801208),forcecom(0.921367347240448)
crmsolutions,salesforcecrm(0.9170942902565002),crmapplications(0.9129461646080017),goldmine(0.9037477970123291),crt(0.903192937374115),erp/sap(0.8968498110771179)
soql,sosl(0.9433556199073792),visualforce(0.9375569820404053),apex(0.9191115498542786),apextriggers(0.9076622724533081),forcecom(0.9042512774467468)
sosl,visualforce(0.9491341710090637),soql(0.9433556199073792),apextriggers(0.935883104801178),apex(0.9261565208435059),siebeltools(0.9199117422103882)
apextriggers,sosl(0.9358830451965332),soql(0.9076622128486633),siebeltools(0.8924782276153564),visualforce(0.8860055804252625),forcecom(0.8450579047203064)
appexchange,servicecloud(0.8735654354095459),applicationmodernization(0.8586493134498596),oam(0.8459007143974304),salescloud(0.8243892192840576),dfss(0.8048872351646423)
dataloader,visualforce(0.9324988126754761),forcecom(0.9273149967193604),apex(0.9186099171638489),siebeltools(0.908871054649353),salesforcecom(0.8894917964935303)
sfa,financialsystems(0.9510327577590942),workorder(0.9361152648925781),mpos(0.9324058294296265),wm(0.9191787242889404),epos(0.9183937311172485)
salesforce apex,salesforcecom(0.851812481880188),nintex(0.8124063014984131),livelink(0.8119399547576904),apextriggers(0.80663001537323),sosl(0.8002429008483887)
proprietarysoftware,managementaccounting(0.9604712724685669),payrollsoftware(0.9590329527854919),workingcapitalmanagement(0.9561576247215271),client focused(0.9560530781745911),cost cutting(0.9549127221107483)
cpm,calendarmanagement(0.8428296446800232),caclarity(0.8343957662582397),microsoftofficesuite(0.8261902928352356),catia(0.8242154717445374),pos(0.8225610256195068)
adobecaptivate,axure(0.8861130475997925),audacity(0.8795185089111328),snagit(0.8781733512878418),dropbox(0.8767606019973755),balsamiq(0.8727715611457825)
technicalintegration,itmanagement(0.8904781937599182),datamining&analytics(0.8775327205657959),pmp(0.8746559023857117),writingspecifications(0.8703800439834595),stakeholderanalysis(0.8644655346870422)
egate,processflows(0.852491557598114),newinitiatives(0.8354533910751343),paymentsystems(0.813861072063446),communicates(0.8018558621406555),teammentoring(0.7985048890113831)
ttl,jsr 286(0.7412475347518921),cl(0.7257711887359619),systemc(0.7152508497238159),electronics(0.7036795020103455),strongmathematical(0.700161337852478)
wml,altiris(0.9305436015129089),patchmanagement(0.9295224547386169),ipv4(0.926438570022583),telnet(0.925662100315094),osi(0.9254162907600403)
voicexml,fatca(0.8755078911781311),peopleleadership(0.8739328980445862),erlang(0.858181893825531),qualityaudit(0.8567229509353638),personalmanagement(0.8555058836936951)
sip,ipv6(0.957854151725769),isdn(0.949547290802002),icmp(0.9478178024291992),framerelay(0.9454982280731201),vrrp(0.9440711140632629)
jvm,modernization(0.9278524518013),provideproductsupport(0.894416093826294),developbusiness(0.890726625919342),pmd(0.8845986723899841),bt(0.8728798627853394)
o/s,os x(0.9185026288032532),sqlqueryanalyzer(0.90863037109375),windowsnt(0.9049426913261414),sockets(0.8884003758430481),udb(0.8847508430480957)
fpga,it hardware(0.8639273643493652),synopsys(0.8628355860710144),mobiledevicemanagement(0.8471007347106934),networkinfrastructure(0.8287044167518616),networkmaintenance(0.8284667730331421)
netrevenue,consumerdurables(0.9269152879714966),quantitativeanalysis(0.9213286638259888),medicaldevices(0.9197832942008972),identifybusiness(0.9174071550369263),mechanicaldesign(0.9169465899467468)
processoptimization,trendanalysis(0.9679456353187561),researchandanalysis(0.9561980366706848),productlines(0.9538815021514893),sop(0.9535481929779053),outsourcing(0.950340211391449)
buildinglong termrelationships,consumerneeds(0.9397594928741455),organizationaldevelopment(0.9381905198097229),managementlevel(0.935338020324707),npi(0.9297844171524048),itproject(0.9275568723678589)
long termrelationships,vendorselection(0.9527484178543091),increaseprofitability(0.9499499201774597),managingbusiness(0.9427494406700134),internationalbusiness(0.9417105913162231),identifybusiness(0.9397612810134888)
managedaccounts,npv(0.8945364356040955),performgap analysis(0.8941798806190491),revenuemanagement(0.8938497304916382),lossmitigation(0.8933179974555969),paymentreconciliation(0.8900166153907776)
pps,shipment(0.9264194965362549),invoices(0.9210524559020996),qualitychecks(0.9198744297027588),sox(0.9198601245880127),outsourcing(0.916380763053894)
paymentreconciliation,revenuemanagement(0.9558017253875732),performgap analysis(0.9341886043548584),brokerage(0.9325801730155945),rfi(0.9325284957885742),resolvetechnicalissues(0.9198415279388428)
customersatisfactiongoals,accountingmanagement(0.9615293145179749),incentive(0.9597955942153931),demonstratedtrackrecord(0.9549233913421631),retailstore(0.954645574092865),controllingcosts(0.952727735042572)
satisfactiongoals,internalcontrols(0.9787973761558533),reportwriting(0.9667735695838928),costcontrol(0.9658329486846924),team building(0.9647427201271057),contractmanagement(0.9633311629295349)
softwarevalidation,presentation development(0.9556519389152527),behaviouralskills(0.9523906111717224),exceptionalleadershipqualities(0.9521629810333252),updatingrecords(0.950790524482727),teammanagementskills(0.9493335485458374)
peoplesofthcm,bwa(0.9711282253265381),saplogistics(0.9539991021156311),bilaunchpad(0.9197162985801697),sapbwonhana(0.9192432165145874),hfm(0.9152910113334656)
volumetesting,e2etesting(0.9778057336807251),ad hoc(0.9770276546478271),exploratorytesting(0.970457136631012),testscenario(0.9695790410041809),valueanalysis(0.9678432941436768)
qalc,user acceptancetesting(0.9332022070884705),excellentinterpersonal communication(0.9288418889045715),ramp(0.9260767102241516),accessibilitytesting(0.9251295924186707),systemrequirements(0.9102388620376587)
questioningability,excellentwrittenandoralcommunication(0.9406377077102661),outstandingwritten(0.9386765360832214),creditresearch(0.9382663369178772),brillianttimemanagement(0.9349007606506348),planningabilities(0.9328474402427673)
contentdevelopment,storyboarding(0.9152695536613464),presenting(0.9039499163627625),contentediting(0.9023119807243347),reducecost(0.893821656703949),qualityservices(0.8912926316261292)
jcaps,oraclesqlpl/sql(0.7248649001121521),polyhedra(0.7198663949966431),btrieve(0.703519880771637),mvc3(0.6925706267356873),ruby/rails(0.6920274496078491)
lawsons3,workloadanalysis(0.9283307790756226),capacityplanning(0.9170291423797607),technicalqueries(0.9085291028022766),administrationwork(0.9062773585319519),backupadministration(0.9051971435546875)
designstudio,sapbasis(0.9184629321098328),sapbasisadministration(0.9182312488555908),sapmobile(0.9164844155311584),centralmanagement(0.9161518216133118),sapsolutionmanager(0.912983238697052)
ibmaix,sunsolaris(0.9676629304885864),i series(0.9653074145317078),rhel(0.9449496269226074),sco(0.9408865571022034),redhatlinux(0.9387356042861938)
microsoftvisualc++,oracle pl/sql(0.9193015694618225),visualbasic6(0.9178164601325989),forms6i(0.8975385427474976),kornshell(0.8935046792030334),algol(0.8935009837150574)
localareanetwork,pcmaintenance(0.945681631565094),antivirus(0.9170956611633301),mcse(0.9072431325912476),a+(0.9012678265571594),noc(0.9011764526367188)
ciscocallmanager,asafirewall(0.9757400751113892),networkinginfrastructure(0.9738566279411316),ieee80211(0.9708825349807739),fwsm(0.970611035823822),isr(0.9699580073356628)
sniffer,hyper v(0.978827953338623),proliant(0.9693650603294373),remotedesktop(0.9633342027664185),hyperv(0.9589799046516418),hardening(0.9583768844604492)
tacacs+,pix(0.9901490211486816),ips(0.9851544499397278),ids(0.9849638938903809),fortigate(0.9766734838485718),gtm(0.9741243124008179)
mcafeeantivirus,fas(0.9386923313140869),l2tp(0.9296597242355347),fcip(0.9267966747283936),chassis(0.9252116084098816),pda(0.9226722121238708)
rip,vtp(0.9913117289543152),vrrp(0.9867586493492126),bgp(0.980764627456665),hsrp(0.9791408777236938),ospf(0.978654682636261)
framerelay,ppp(0.9787139892578125),8021q(0.9693933725357056),isdn(0.965779185295105),icmp(0.9648016095161438),arp(0.9637885093688965)
rstp,hsrp(0.9808849692344666),mpls(0.9795014262199402),vrrp(0.9774524569511414),vtp(0.9761800169944763),fortigate(0.9743037223815918)
h323,bdi(0.9341713190078735),lacp(0.9272376298904419),mpls vpn(0.9262474179267883),metroethernet(0.9056947827339172),spanningtreeprotocol(0.9055096507072449)
mgcp,lacp(0.9532199501991272),metroethernet(0.9516736268997192),hdlc(0.9433921575546265),mpls vpn(0.9364268183708191),vpls(0.933104932308197)
qos,sonet(0.9620532393455505),hdlc(0.9590363502502441),vpls(0.957449734210968),hop(0.9509574174880981),routingprotocols(0.9504897594451904)
pgp,icdl(0.9662179350852966),wsus(0.9610483050346375),nlb(0.9601466059684753),rras(0.9569838643074036),networkinginfrastructure(0.9567145705223083)
ciscorouter,layer 2(0.9894521236419678),layer 3(0.9856588244438171),cacti(0.9856201410293579),t1(0.9855203628540039),websense(0.9846246838569641)
scsi,ntfs(0.9451656937599182),microsofthyper v(0.9377363920211792),telnet(0.9364950656890869),hardwaresupport(0.9350550770759583),remotedesktop(0.933771550655365)
rapidsql,fileaid(0.9001159071922302),idms(0.8899683952331543),adso(0.8890575766563416),cobol/400(0.8824078440666199),rexx(0.879484236240387)
vb60,ado(0.9617753624916077),netframework35(0.9555955529212952),visualc++(0.9462428689002991),ms sql(0.9456770420074463),sql server2005(0.9453436732292175)
hpwinrunner,qmf(0.879204511642456),ods(0.8599265217781067),slowlychangingdimensions(0.8572157025337219),developmenttesting(0.8571266531944275),netezza(0.848833441734314)
trizettofacets,pds(0.8999085426330566),endurance(0.8688491582870483),diagnosing(0.8681560754776001),applicationmanagement(0.8654505014419556),datacom(0.8530246615409851)
actuate,hpprinter(0.9298673272132874),customerquality(0.9288564324378967),oraclesupport(0.9159398674964905),pentaho(0.9116090536117554),ibminfosphere(0.9015465378761292)
ibmfilenet,microsoftbusinessintelligence(0.8939811587333679),scom(0.8897865414619446),wss(0.8799731135368347),analysisservices(0.8724799156188965),sqlservermanagementstudio(0.8721217513084412)
joy,peoplemanagementskills(0.9586734175682068),clientrelations(0.955883264541626),forth(0.9457048177719116),qualityimprovement(0.9428902268409729),organizationaldevelopment(0.9378808736801147)
management process,totalqualitymanagement(0.9282107353210449),qualitycheck(0.9243456721305847),tradeprocessing(0.9201969504356384),captive(0.9142950177192688),excellentitskills(0.910159170627594)
trainingdevelopment,business/systems(0.9178975224494934),itoperations(0.9126527905464172),businesssupport(0.9105775952339172),claimsprocessing(0.9089640378952026),pipelinedevelopment(0.9075015187263489)
itsourcing,managingbusiness(0.9413676857948303),customs(0.9408769011497498),subjectmatterexpertise(0.9332643747329712),materialmanagement(0.9321594834327698),capex(0.9312800168991089)
controltesting,valueproposition(0.9413047432899475),commercialnegotiation(0.9326704740524292),managelargeteams(0.9320120811462402),claimmanagement(0.9319190382957458),identifyareas(0.9316973686218262)
microsoftprojectserver,workbreakdownstructure(0.9005175232887268),storyboarding(0.8988481163978577),itmanagement(0.8957409262657166),managementprocess(0.8912498950958252),projectmanagementprofessional(0.890516459941864)
strategicsourcing,planning(0.9782273769378662),planning resource(0.9722915291786194),managingoperations(0.9683163166046143),reverselogistics(0.9673522710800171),rfscanner(0.965526282787323)
systemintegrations,sapisretail(0.9316546320915222),bpc(0.9137727618217468),hrprocess(0.908118724822998),sapisoil(0.9043341875076294),dso(0.8975951671600342)
business/processanalysis,ncr(0.8803412318229675),stockmarket(0.8782610893249512),salesmodel(0.8746280074119568),salesplanning(0.8691213726997375),payrollsoftware(0.8686614036560059)
business/process,benefitanalysis(0.9363948702812195),pms(0.9345133304595947),supportsales(0.9176295399665833),industryresearch(0.9160283803939819),strategicplans(0.9147865176200867)
uniface,cobra(0.8877695202827454),r programming(0.883022665977478),ms office(0.8623870015144348),ms word(0.8478686213493347),visualbasic(0.8465193510055542)
windows:xp,msofficeproducts(0.9025281071662903),windows95(0.8942265510559082),oraclecrm(0.8864338994026184),mvs(0.875286340713501),cobol/400(0.8723780512809753)
anet,webspheremq(0.8224934339523315),atg(0.8220443725585938),mq(0.8132139444351196),enterpriseportal(0.8054088950157166),ibmwebspheremq(0.8038796186447144)
datastream,cdi(0.8140587210655212),referencedata(0.7730156779289246),qualitystage(0.7728543281555176),edw(0.7700574398040771),ibmlotusnotes(0.7683402299880981)
guidevelopment,dll(0.887849748134613),iiswebserver(0.88257896900177),t/sql(0.8778507113456726),apptio(0.8681538105010986),asp net(0.8626613616943359)
visualstudio2005,rdlc(0.9634251594543457),visualstudionet(0.957690954208374),mvc5(0.9555228352546692),aspnetajax(0.955326497554779),visualbasicnet(0.9506626129150391)
mimix,opensso(0.8241073489189148),ibmwebspheremq(0.8055610060691833),oraclesoa(0.7785784006118774),eai(0.7600229382514954),databasemigration(0.7468271255493164)
pcanywhere,squid(0.8455169200897217),postfix(0.8390061855316162),tl1(0.831606924533844),checkpointfirewall(0.831597089767456),ids(0.8305928111076355)
webfocus,srdf(0.85602205991745),etldevelopment(0.8466000556945801),tivoli(0.8351495265960693),ibmtivoli(0.8292891383171082),opm(0.825194239616394)
ado,vb60(0.9617753028869629),sql server2005(0.9580376744270325),netframework35(0.9516345858573914),visualc++(0.9439533948898315),sqlserver2005(0.9407671689987183)
checkpointvpn,ciscofirewalls(0.8971309661865234),layer 3(0.8958379030227661),ciscocertifications(0.8925136923789978),ciscopix(0.8887134194374084),networkoperation(0.8859480023384094)
websense,ciscorouter(0.9846247434616089),asafirewall(0.9802886843681335),ciscofwsm(0.9797748327255249),cacti(0.9788399338722229),ssl vpn(0.9764534831047058)
cisco routers,printersupport(0.9531073570251465),serversupport(0.9498136043548584),sparc(0.9481264352798462),ciscoucs(0.9390905499458313),ciscomds(0.9269072413444519)
watchguard,ciscocallmanager(0.9488494992256165),isr(0.9374836683273315),networkadministration(0.9362170696258545),infrastructuredesign(0.9360483884811401),ciscomds(0.9346878528594971)
foxpro,dbase(0.9368555545806885),ms windows(0.9151994585990906),as400(0.9149319529533386),oraclecrm(0.9004586935043335),msp(0.89762282371521)
sendmail,apacheserver(0.9216686487197876),powervm(0.9189013838768005),lsf(0.9177761673927307),veritasstoragefoundation(0.9171905517578125),serversecurity(0.9151831865310669)
reportingservices,sqlserverreporting(0.9685905575752258),analysisservices(0.9620919227600098),ssrs(0.9583197832107544),microsoftsql(0.9562792778015137),microsoftsqlserver(0.9505413174629211)
training/development,recordkeeping(0.955506443977356),helpdesk(0.9535817503929138),fabrication(0.9472992420196533),managementinformation(0.9434494972229004),manpowermanagement(0.9350752234458923)
cost/analysis,productlaunch(0.9227275252342224),corporatestrategy(0.9125215411186218),m&a(0.9084926247596741),costanalysis(0.9072524309158325),recruitmentprocess(0.9030550718307495)
eft,payrollsoftware(0.9309190511703491),internetresearch(0.9269284605979919),quickbook(0.9243418574333191),resolvingcustomercomplaints(0.9203510880470276),clientassessmentandanalysis(0.9164382815361023)
strategicpartnerships,businessexcellence(0.9460749626159668),contractmanagement(0.9437513947486877),productanalysis(0.9426056146621704),internalcontrols(0.9387857913970947),costanalysis(0.9354756474494934)
clear quest,businessmodeling(0.8595569729804993),hpqualitycenter(0.858194887638092),lucid(0.8580464720726013),hpqc(0.8533346056938171),jira agile(0.8350850939750671)
commercialclients,productlifecycle(0.9456326961517334),changecontrol(0.940197229385376),re engineering(0.9364521503448486),groupinsurance(0.936346709728241),understandingbusinessrequirements(0.9298362731933594)
softwaredevelopmentlife cycle,designdocumentation(0.9281965494155884),technicalsolution(0.9204714894294739),functionalrequirements(0.9195035696029663),rbm(0.9175412654876709),agilesoftwaredevelopment(0.9170267581939697)
business/requirements,excellentinterpersonal communication(0.87004154920578),qalc(0.8690611124038696),user acceptancetesting(0.8602727651596069),maintenanceoperation(0.8568282127380371),consultingclients(0.8491142392158508)
systemmigration,ale/idoc(0.9479332566261292),interactivereports(0.9432459473609924),sapmdg(0.9422634243965149),saptechnical(0.9343918561935425),functionmodules(0.9323154091835022)
protools,itbackground(0.8574079275131226),activitydiagram(0.8489784002304077),businessdevelop(0.8484725952148438),businessmodeling(0.8418901562690735),bpmn(0.8376941084861755)
goalsachieved,commercialinsurance(0.9024442434310913),hardwaredevelopment(0.9022741317749023),analyzinginformation(0.8972664475440979),projectplanning(0.886670708656311),learningsolutions(0.8841844201087952)
businessapplication,problemmanagement(0.9041407108306885),hardwareengineering(0.8917924761772156),sla(0.8801664113998413),cobit(0.8704434633255005),sqldb2(0.8636809587478638)
waterfallmethodologies,agilescrum(0.9672597050666809),waterfallmodels(0.9542551040649414),test drivendevelopment(0.9541574716567993),agilemethodologies(0.9531731009483337),developmentprocess(0.9416705965995789)
silktest,doors(0.958158552646637),rationalrobot(0.9508345127105713),quicktestpro(0.950029730796814),defect tracking(0.9484591484069824),ais(0.9444331526756287)
billingsystem,ncfm(0.9041013121604919),fraud(0.8969162106513977),financemanagement(0.8917892575263977),healthcareservices(0.8907756805419922),purchaseorder(0.884579062461853)
clinicaltrials,threads(0.8742944002151489),web service(0.8701655268669128),gorm(0.8674697875976562),javaservlets(0.8598881959915161),concurrency(0.8487656712532043)
tsql,msbi(0.9545697569847107),indextuningwizard(0.9542259573936462),sqlserverintegration(0.9527806043624878),rdbmsdatabase(0.9502922892570496),storedprocedure(0.9445990920066833)
ms access,mssql(0.9339900016784668),oracle pl sql(0.927138090133667),t sql(0.9264966249465942),windows/2000(0.9109560251235962),pl sql(0.9094353914260864)
cascading,stylesheets(0.942589521408081),phpframework(0.9383237361907959),zend(0.9342144727706909),symfony(0.9330061674118042),webdesign(0.9197405576705933)
resharper,infragistics(0.9536028504371643),rsaenvision(0.9204131960868835),windowsserver2012r2(0.9144058227539062),apachecordova(0.9116223454475403),internetinformationservices(0.9113414287567139)
activex,tsql(0.9359444975852966),reportingservices(0.9305706024169922),vb60(0.9222766757011414),microsoftsqlserver(0.9204589128494263),enterpriseservices(0.915769100189209)
installshield,pl sql(0.9189273118972778),isql(0.9047316908836365),fxcop(0.9035557508468628),transact sql(0.9003289937973022),oracle pl(0.8935933709144592)
mfc,apachewicket(0.9301427602767944),xml xslt(0.9184725880622864),googleapi(0.9132822751998901),odpnet(0.9030653238296509),curl(0.9015932679176331)
win32,windowsservices(0.8872177600860596),nunit(0.883074164390564),coded ui(0.8821031451225281),blueprism(0.8811079859733582),mobileapplicationdevelopment(0.8749588131904602)
dll,asp net(0.935112714767456),iiswebserver(0.9178009033203125),mysql db(0.9047824740409851),guidevelopment(0.887849748134613),vb net(0.8852021098136902)
networkservices,failover(0.9381119608879089),networkprotocols(0.9360852241516113),ipaddressing(0.9241179823875427),nis(0.9152386784553528),vmwareview(0.9089294672012329)
sdlclifecycle,scrumdevelopment(0.9382838606834412),cmmi(0.8762189149856567),scrummaster(0.8750692009925842),sprintretrospective(0.8678192496299744),agilescrumdevelopment(0.8666423559188843)
etlarchitecture,microsoftproject(0.8571696281433105),msvisio(0.8428997993469238),pmlc(0.836270809173584),msproject(0.8273235559463501),businessmodeling(0.8272079825401306)
itdelivery,clientcoordination(0.968546986579895),management quality(0.9628996849060059),management/process(0.9609297513961792),dispatchdocuments(0.9583554863929749),hrmanagement(0.9568057656288147)
communicationmanagement,caclarity(0.9343273639678955),analyzecustomer(0.9211923480033875),cap(0.9135254621505737),italian(0.9065861701965332),staffsupervision(0.9030572175979614)
bcm,solutioning(0.85872882604599),emma(0.8517518639564514),couchbase(0.851492702960968),developmentframework(0.8309533596038818),pathway(0.8258515000343323)
businesscontinuitymanagement,applicationmanagement(0.8092765212059021),savvion(0.8021310567855835),broadband(0.7970209121704102),otc(0.7954181432723999),productsolution(0.7946192026138306)
businesscontinuityplanning,taskmanagement(0.9296674132347107),businessgoals(0.929236888885498),medicare(0.9274755120277405),closures(0.9257583618164062),costbenefitanalysis(0.9216403365135193)
ciscowebex,microsoftofficeapplicationslike(0.8955156207084656),diskmanagementandnetworkrelatedsoftware(0.8819186091423035),microsoftoffice365(0.870731770992279),adobeconnect(0.8707084655761719),microsoftofficetools(0.8686893582344055)
